time,t2m,d2m,strd,tp,sp,ssrd,Ws
24-Dec-2019 17:00:00,265.960263141534,261.82012030744,12736628.3675515,0.00010975424521531,63070.7880657455,13724862.2883128,1.42466033253312
24-Dec-2019 18:00:00,264.715300207904,260.586230787144,13447913.7322151,0.00010975424521531,63037.3505659839,13724862.2883128,1.53240470253021
24-Dec-2019 19:00:00,265.756023142772,260.49638446285,14131891.9805022,0.00010975424521531,62985.3366774659,13724862.2883128,1.52751961584526
24-Dec-2019 20:00:00,265.991800200166,259.617387923513,14795714.9762257,0.00010975424521531,62974.1908442121,13724862.2883128,1.5482414513584
24-Dec-2019 21:00:00,266.005316082437,258.82674026973,15456287.1247616,0.00010975424521531,62953.75681658,13724862.2883128,1.57481968394196
24-Dec-2019 22:00:00,265.912206671237,258.289159762708,16118159.6121725,0.00010975424521531,62949.1127193909,13724862.2883128,1.57325600468255
24-Dec-2019 23:00:00,265.778549613224,257.763558765591,16773530.4052081,0.00010975424521531,62976.9773025255,13724862.2883128,1.57111133511125
25-Dec-2019 00:00:00,265.679433143236,257.272398859454,17429551.3676812,0.00010975424521531,63046.6387603621,13724862.2883128,1.53482798505811
25-Dec-2019 01:00:00,266.017330200012,257.219988503616,642176.490520045,0,63089.3644545019,184540.592678495,1.50071481999391
25-Dec-2019 02:00:00,267.178194310622,257.558409658455,1291045.58918026,0,63176.6734816571,1033978.18644042,1.40368446681811
25-Dec-2019 03:00:00,269.564498413804,261.823115184917,1940564.85727801,0,63229.616189613,2579712.22541315,1.1175225357587
25-Dec-2019 04:00:00,271.968823693347,263.670954587885,2599186.49750126,0,63252.8366755585,4650422.93549814,0.793902183370522
25-Dec-2019 05:00:00,272.551508395697,263.077968847548,3265610.17097493,0,63179.4599399706,7013644.25666458,0.375661940313573
25-Dec-2019 06:00:00,272.562020748575,263.994401355341,3933334.18332367,0,63147.8800790847,9431952.32191415,0.277280888167271
25-Dec-2019 07:00:00,272.599564865994,264.946772392852,4593256.16242199,0,63105.1543849449,11654702.4456686,0.312153625411108
25-Dec-2019 08:00:00,272.177568986199,265.662548109723,5258379.49702059,0,63108.8696626962,13397096.1610181,0.199842951309467
25-Dec-2019 09:00:00,271.455220167049,266.078836078949,5933255.37318221,0,63171.1005650302,14534086.558894,0.209310825738527
25-Dec-2019 10:00:00,270.138172527973,266.084825833902,6605530.5715937,0,63231.4738284886,14945033.6697542,0.120966770345026
25-Dec-2019 11:00:00,268.444181950007,265.912620379006,7303812.5475066,5.77653922184673e-06,63284.4165364444,14956051.0185708,0.214464820679998
25-Dec-2019 12:00:00,267.119625487447,265.755389311493,8021599.60654556,5.19888529967039e-05,63353.1491748432,14956051.0185708,0.299836362593362
25-Dec-2019 13:00:00,266.520421373433,265.586178734073,8860968.35040361,0.000294603500314766,63391.2307717939,14956051.0185708,0.265042766650913
25-Dec-2019 14:00:00,266.048867258644,265.06656749191,9701637.43313674,0.000716290863510383,63439.5293825606,14956051.0185708,0.196543788180413
25-Dec-2019 15:00:00,265.599839614307,264.557438320913,10568963.4628088,0.00118996707970276,63467.3939656952,14956051.0185708,0.14611509522036
25-Dec-2019 16:00:00,265.442154321145,264.379243111065,11446042.0340439,0.00160010136445468,63481.3262572626,14956051.0185708,0.107888099486938
25-Dec-2019 17:00:00,265.210882557841,264.114196454399,12282159.9307143,0.00198135295309732,63450.6752158145,14956051.0185708,0.0366997954464967
25-Dec-2019 18:00:00,265.490210791442,264.434648344379,13148835.7909488,0.00239148723784924,63438.6005631228,14956051.0185708,0.166473586500296
25-Dec-2019 19:00:00,265.269451381016,264.183078636357,14053221.4785604,0.00281317460104485,63423.7394521176,14956051.0185708,0.297984604773303
25-Dec-2019 20:00:00,265.048691970589,263.931508928336,14994016.654674,0.00314243733669078,63418.1665354907,14956051.0185708,0.228920302707389
25-Dec-2019 21:00:00,264.547102561865,263.362482207811,15901653.1894732,0.00343704083700552,63403.3054244856,14956051.0185708,0.0677461014705856
25-Dec-2019 22:00:00,264.327844916135,263.109415061051,16773530.4052081,0.00373164433732029,63374.5120219131,14956051.0185708,0.0428162441606817
25-Dec-2019 23:00:00,264.309823739774,263.09294323493,17661011.6874437,0.00401469475919133,63407.9495216747,14956051.0185708,0.138071550799025
26-Dec-2019 00:00:00,264.164152564186,262.926727534988,18526387.2088032,0.00426308594573124,63459.9634101927,14956051.0185708,0.100547365783778
26-Dec-2019 01:00:00,263.913357859824,262.643711613463,855432.066031616,0.000231061568874313,63502.6891043325,93647.4649413228,0.0753331740702005
26-Dec-2019 02:00:00,264.12510668207,262.881804372841,1755266.56758046,0.000450570059304933,63551.916534537,394971.955076065,0.0954302724919028
26-Dec-2019 03:00:00,265.313002557222,262.986625084517,2644698.35812873,0.000646972392848083,63602.0727841793,1352930.43468176,0.672568660682002
26-Dec-2019 04:00:00,265.536765497042,263.53169278523,3535430.48755207,0.000831821647947567,63585.3540342986,2456317.91866693,0.829590685566284
26-Dec-2019 05:00:00,265.993301964863,263.947980754456,4467123.29154014,0.00102244744226887,63502.6891043325,3635725.10948682,0.882807728173046
26-Dec-2019 06:00:00,266.038354905767,263.753313718487,5351353.72658813,0.00122462631503389,63435.8141048093,4753435.1469336,0.892231757735646
26-Dec-2019 07:00:00,266.156994316812,263.997396232818,6224531.28119802,0.00145568788390824,63381.0137579778,6330568.63003372,0.974379789616061
26-Dec-2019 08:00:00,265.719980790049,263.301087219544,7107461.37737094,0.00166364329589511,63348.5050776541,7056061.04960859,0.834209351837435
26-Dec-2019 09:00:00,265.28597079268,263.37146684024,8009896.55666992,0.00188892832554757,63364.2950080971,7378318.50249492,0.624839736541094
26-Dec-2019 10:00:00,264.797897266227,263.094440673669,8864869.36702882,0.00212576643364376,63364.2950080971,7535866.59057269,0.460133202866979
26-Dec-2019 11:00:00,264.584646679284,262.94170192237,9741297.76882639,0.00239148723784924,63392.1595912317,7540273.53009934,0.192161585760233
26-Dec-2019 12:00:00,264.659734914123,263.004594349375,10643082.7786878,0.0026283253459454,63437.671743685,7540273.53009934,0.161282425308838
26-Dec-2019 13:00:00,264.587650208678,262.902768515176,11535765.4164238,0.00284783383637602,63446.9599380632,7540273.53009934,0.0814403608625604
26-Dec-2019 14:00:00,264.658233149427,262.997107155684,12446002.6289732,0.00303845963069732,63456.2481324414,7540273.53009934,0.146594638891437
26-Dec-2019 15:00:00,263.856290801347,262.504449810808,13361441.1970229,0.00317709657202192,63451.6040352523,7540273.53009934,0.476532242461645
26-Dec-2019 16:00:00,262.958235512673,261.544591579607,14263226.2068843,0.00328107427801536,63432.098827058,7540273.53009934,0.797194171102508
26-Dec-2019 17:00:00,262.710444337704,261.15376006893,15040828.8541765,0.00336194582712138,63405.1630633612,7540273.53009934,0.785238237888664
26-Dec-2019 18:00:00,263.482351391849,261.522129998533,15864593.5315337,0.0034428173762274,63382.8713968535,7540273.53009934,0.725197743101725
26-Dec-2019 19:00:00,263.105408452957,261.517637682319,16651298.5509514,0.00354679508222083,63351.2915359676,7540273.53009934,0.601577055095513
